# Temperature (K), Electrical Resistivity (Î© m)
293.15,7.762455639999999e-07
323.15,7.97172775e-07
373.15,8.311271000000001e-07
423.15,8.63925975e-07
473.15,8.955694000000001e-07
523.15,9.260573750000001e-07
573.15,9.553899e-07
623.15,9.83566975e-07
673.15,1.0105886e-06
723.15,1.0364547750000001e-06
773.15,1.0611655000000001e-06
823.15,1.084720775e-06
873.15,1.1071206e-06
923.15,1.128364975e-06
973.15,1.1484539000000002e-06
1023.15,1.167387375e-06
1073.15,1.1851654e-06
1123.15,1.201787975e-06
1173.15,1.2172551000000002e-06
1223.15,1.2315667749999999e-06
1273.15,1.2447230000000001e-06
